image_id,gene,source_dir
Duodenum_ERMAP_Male_55_1920.jpg,ERMAP,images
Duodenum_ETF1_Male_50_1904.jpg,ETF1,images
Duodenum_EXOC3L2_Male_59_1961.jpg,EXOC3L2,images
Duodenum_EXOC5_Female_67_3479.jpg,EXOC5,images
Duodenum_EXOC5_Male_59_1961.jpg,EXOC5,images
Duodenum_EXOSC8_Male_50_1904.jpg,EXOSC8,images
Duodenum_EZR_Female_64_2338.jpg,EZR,images
Duodenum_FAHD2A_Male_35_3219.jpg,FAHD2A,images
Duodenum_FAM174B_Male_54_2562.jpg,FAM174B,images
Duodenum_FAM234A_Male_59_1961.jpg,FAM234A,images
Duodenum_FAM50A_Female_64_2338.jpg,FAM50A,images
Duodenum_FANCE_Female_67_3479.jpg,FANCE,images
Duodenum_FANCE_Male_59_1961.jpg,FANCE,images
Duodenum_FAR2_Male_54_2562.jpg,FAR2,images
Duodenum_FASTKD3_Female_67_3479.jpg,FASTKD3,images
Duodenum_FASTKD3_Male_59_1961.jpg,FASTKD3,images
Duodenum_FBH1_Male_66_2329.jpg,FBH1,images
Duodenum_FBP1_Male_50_1904.jpg,FBP1,images
Duodenum_FBXW5_Female_62_3515.jpg,FBXW5,images
Duodenum_FEN1_Male_50_1904.jpg,FEN1,images
Duodenum_FHIP2B_Female_62_3515.jpg,FHIP2B,images
Duodenum_FKBP5_Male_50_1904.jpg,FKBP5,images
Duodenum_FKBP8_Male_54_2562.jpg,FKBP8,images
Duodenum_FKBP9_Male_50_1904.jpg,FKBP9,images
Duodenum_FLAD1_Male_55_1920.jpg,FLAD1,images
Duodenum_FLRT3_Female_67_3479.jpg,FLRT3,images
Duodenum_FLVCR2_Male_35_3219.jpg,FLVCR2,images
Duodenum_FMR1_Male_54_2562.jpg,FMR1,images
Duodenum_FOLH1_Male_50_1904.jpg,FOLH1,images
Duodenum_FOSL2_Male_66_2329.jpg,FOSL2,images
Duodenum_FOXJ2_Male_54_2562.jpg,FOXJ2,images
Duodenum_FOXP1_Female_64_2338.jpg,FOXP1,images
Duodenum_FOXP1_Male_50_1904.jpg,FOXP1,images
Duodenum_FOXP4_Male_50_1904.jpg,FOXP4,images
Duodenum_FRG1_Male_59_1961.jpg,FRG1,images
Duodenum_FRY_Male_55_1920.jpg,FRY,images
Duodenum_FUBP1_Male_54_2562.jpg,FUBP1,images
Duodenum_FUT11_Male_50_1904.jpg,FUT11,images
Duodenum_FUT11_Male_54_2562.jpg,FUT11,images
Duodenum_FUT8_Male_50_1904.jpg,FUT8,images
Duodenum_G6PC1_Male_55_1920.jpg,G6PC1,images
Duodenum_GABARAPL2_Female_62_3515.jpg,GABARAPL2,images
Duodenum_GABRP_Male_54_2562.jpg,GABRP,images
Duodenum_GAK_Male_54_2562.jpg,GAK,images
Duodenum_GALC_Male_54_2562.jpg,GALC,images
Duodenum_GALK2_Female_67_3479.jpg,GALK2,images
Duodenum_GALNS_Male_50_1904.jpg,GALNS,images
Duodenum_GALNT11_Male_55_1920.jpg,GALNT11,images
Duodenum_GALNT5_Male_50_1904.jpg,GALNT5,images
Duodenum_GALNT7_Male_59_1961.jpg,GALNT7,images
Duodenum_GAS1_Male_54_2562.jpg,GAS1,images
Duodenum_GATA4_Male_54_2562.jpg,GATA4,images
Duodenum_GATA6_Male_50_1904.jpg,GATA6,images
Duodenum_GATA6_Male_54_2562.jpg,GATA6,images
Duodenum_GBA2_Male_50_1904.jpg,GBA2,images
Duodenum_GBP4_Male_55_1920.jpg,GBP4,images
Duodenum_GCHFR_Male_55_1920.jpg,GCHFR,images
Duodenum_GCSH_Male_55_1920.jpg,GCSH,images
Duodenum_GDPD5_Female_67_3479.jpg,GDPD5,images
Duodenum_GID8_Female_62_3515.jpg,GID8,images
Duodenum_GIMAP1_Female_62_3515.jpg,GIMAP1,images
Duodenum_GIPC1_Male_55_1920.jpg,GIPC1,images
Duodenum_GIPC2_Female_67_3479.jpg,GIPC2,images
Duodenum_GJA4_Female_67_3479.jpg,GJA4,images
Duodenum_GLMN_Male_35_3219.jpg,GLMN,images
Duodenum_GLOD5_Male_59_1961.jpg,GLOD5,images
Duodenum_GLP2R_Female_67_3479.jpg,GLP2R,images
Duodenum_GLRX2_Male_50_1904.jpg,GLRX2,images
Duodenum_GMCL1_Male_55_1920.jpg,GMCL1,images
Duodenum_GMCL2_Male_35_3219.jpg,GMCL2,images
Duodenum_GMDS_Male_55_1920.jpg,GMDS,images
Duodenum_GNA13_Male_50_1904.jpg,GNA13,images
Duodenum_GOLGA1_Male_50_1904.jpg,GOLGA1,images
Duodenum_GOLGA3_Female_60_3548.jpg,GOLGA3,images
Duodenum_GOLGA4_Male_54_2562.jpg,GOLGA4,images
Duodenum_GOLGA5_Male_66_2329.jpg,GOLGA5,images
Duodenum_GOLGA8A_Male_35_3219.jpg,GOLGA8A,images
Duodenum_GORASP1_Male_35_3219.jpg,GORASP1,images
Duodenum_GPAT3_Male_55_1920.jpg,GPAT3,images
Duodenum_GPBP1_Female_62_3515.jpg,GPBP1,images
Duodenum_GPD2_Male_54_2562.jpg,GPD2,images
Duodenum_GPKOW_Male_63_1647.jpg,GPKOW,images
Duodenum_GPN3_Male_35_3219.jpg,GPN3,images
Duodenum_GPR27_Female_60_3548.jpg,GPR27,images
Duodenum_GPR27_Male_54_2562.jpg,GPR27,images
Duodenum_GPX2_Male_66_2329.jpg,GPX2,images
Duodenum_GTF2B_Female_67_3479.jpg,GTF2B,images
Duodenum_GTF2IRD1_Male_35_3219.jpg,GTF2IRD1,images
Duodenum_GTPBP10_Female_60_3548.jpg,GTPBP10,images
Duodenum_GTPBP1_Male_35_3219.jpg,GTPBP1,images
Duodenum_H1-4_Male_50_1904.jpg,H1-4,images
Duodenum_H2BC10_Male_55_1920.jpg,H2BC10,images
Duodenum_H2BC12L_Male_55_1920.jpg,H2BC12L,images
Duodenum_H2BC17_Male_55_1920.jpg,H2BC17,images
Duodenum_H2BC6_Female_67_3479.jpg,H2BC6,images
Duodenum_H2BC6_Male_55_1920.jpg,H2BC6,images
Duodenum_H2BC7_Male_55_1920.jpg,H2BC7,images
Duodenum_H2BC9_Female_67_3479.jpg,H2BC9,images
Duodenum_H3-4_Female_64_2338.jpg,H3-4,images
Duodenum_H3C11_Female_62_3515.jpg,H3C11,images
Duodenum_H3C12_Female_62_3515.jpg,H3C12,images
Duodenum_H3C13_Female_62_3515.jpg,H3C13,images
Duodenum_H3C15_Female_62_3515.jpg,H3C15,images
Duodenum_H3C4_Female_62_3515.jpg,H3C4,images
Duodenum_H4C11_Female_67_3479.jpg,H4C11,images
Duodenum_H4C12_Male_55_1920.jpg,H4C12,images
Duodenum_H4C16_Male_54_2562.jpg,H4C16,images
Duodenum_H4C4_Female_67_3479.jpg,H4C4,images
Duodenum_H4C9_Female_67_3479.jpg,H4C9,images
Duodenum_HADHA_Male_50_1904.jpg,HADHA,images
Duodenum_HADH_Male_55_1920.jpg,HADH,images
